Question,Main problem in the question,Type of problem,Source,Source URL
Are there genetic causes of congenital heart defects?,Heart defects,Genetic causes,CDC,https://www.cdc.gov/ncbddd/heartdefects/index.html
Can I be tested for risk of sudden cardiac death?,Sudden cardiac death,Risk testing,NIH,https://www.nhlbi.nih.gov/health-topics/sudden-cardiac-death
Does family history of heart disease always mean genetic predisposition?,Heart disease,Genetic link,NIH,https://www.nih.gov/
What is BRCA testing and who should get it?,BRCA testing,Testing advice,NIH,https://www.cancer.gov/about-cancer/causes-prevention/genetics/brca-fact-sheet
Does family history of breast cancer mean I’ll get it too?,Breast cancer,Risk assessment,NIH,https://www.nih.gov/
How does Lynch syndrome increase colon cancer risk?,Lynch syndrome,Risk increase,CDC,https://www.cdc.gov/cancer/lynch/index.htm
Are there genetic tests for childhood cancers?,Childhood cancers,Testing options,NIH,https://www.nih.gov/
Can lifestyle changes reduce inherited cancer risk?,Cancer risk,Prevention,NIH,https://www.nih.gov/
How is polycystic kidney disease inherited?,Polycystic kidney disease,Inheritance,NIH,https://www.niddk.nih.gov/health-information/kidney-disease/polycystic-kidney-disease
Can Alport syndrome be detected genetically?,Alport syndrome,Testing,NIH,https://www.ninds.nih.gov/health-information/disorders/alport-syndrome
Are kidney stones linked to genetics?,Kidney stones,Genetic association,NIH,https://www.niddk.nih.gov/health-information/urologic-diseases/kidney-stones
Does family history of kidney failure mean higher risk?,Kidney failure,Risk assessment,NIH,https://www.niddk.nih.gov/health-information/kidney-disease/kidney-failure
Can genetic counselling help in kidney transplant planning?,Kidney transplant,Genetic counselling,NIH,https://www.nih.gov/
What conditions are covered in newborn screening?,Newborn screening,Covered conditions,CDC,https://www.cdc.gov/ncbddd/newbornscreening/index.html
How is newborn screening different from genetic testing?,Newborn screening,Testing comparison,CDC,https://www.cdc.gov/ncbddd/newbornscreening/index.html
Can newborn screening detect cystic fibrosis?,Cystic fibrosis,Detection,CDC,https://www.cdc.gov/cf/index.html
What happens if my baby’s screening test is positive?,Screening results,Next steps,NIH,https://www.nih.gov/
Are false positives common in newborn screening?,Newborn screening,Test accuracy,CDC,https://www.cdc.gov/ncbddd/newbornscreening/index.html
What is in-utero gene therapy?,In-utero therapy,Treatment method,NIH,https://www.nih.gov/
Can surgery correct genetic disorders before birth?,Fetal surgery,Treatment options,March of Dimes,https://www.marchofdimes.org/complications/fetal-surgery.aspx
Are there therapies for spina bifida during pregnancy?,Spina bifida,Treatment options,CDC,https://www.cdc.gov/ncbddd/spinabifida/index.html
How safe is fetal transfusion for genetic blood disorders?,Fetal transfusion,Procedure risk,March of Dimes,https://www.marchofdimes.org/
Can stem cells be used for fetal therapy?,Stem cells,Treatment research,NIH,https://stemcells.nih.gov/
What is the role of PCR in genetic testing?,PCR,Testing method,NIH,https://www.genome.gov/about-genomics/fact-sheets/PCR
How are mutations detected at the molecular level?,Mutations,Detection,NIH,https://www.genome.gov/about-genomics/fact-sheets/Mutation-Fact-Sheet
What is whole exome sequencing used for?,Exome sequencing,Testing purpose,NIH,https://www.genome.gov/about-genomics/fact-sheets/Exome-Sequencing-Fact-Sheet
Can molecular testing identify carriers in a family?,Carrier testing,Testing method,ACOG,https://www.acog.org/clinical/clinical-guidance/committee-opinion/articles/2017/03/carrier-screening-for-genetic-conditions
What is the difference between gene panel and whole genome sequencing?,Genetic testing,Method comparison,NIH,https://www.nih.gov/
What genetic disorders are most common in children?,Genetic disorders,Common conditions,CDC,https://www.cdc.gov/ncbddd/genetics/index.html
How do I know if my child’s developmental delay is genetic?,Developmental delay,Genetic cause,NIH,https://www.nih.gov/
Can short stature be related to a genetic condition?,Short stature,Genetic association,NIH,https://www.nih.gov/
Are learning disabilities always inherited?,Learning disabilities,Inheritance risk,NIH,https://www.nih.gov/
How do genetic counsellors support children with rare diseases?,Rare diseases,Counselling support,NIH,https://www.nih.gov/
What kinds of DNA tests are used for genetic counselling?,DNA tests,Testing types,NIH,https://www.nih.gov/
How reliable are at-home DNA test kits?,DNA kits,Test accuracy,NIH,https://www.nih.gov/
Can DNA testing reveal ancestry and disease risk together?,DNA testing,Testing scope,NIH,https://www.nih.gov/
Is whole genome sequencing affordable and necessary?,Genome sequencing,Testing feasibility,NIH,https://www.genome.gov/about-genomics/fact-sheets/Whole-Genome-Sequencing-Fact-Sheet
How is consent handled for genetic DNA testing?,Genetic testing,Consent process,NIH,https://www.nih.gov/
