Question,Main problem in the question,Type of problem,Source,Source URL,Gene affected,Gene Source URL,Common misconception,Misconception Source URL
What environmental factors are considered teratogens?,Environmental factors,Teratogenic agents,CDC,https://www.cdc.gov/ncbddd/birthdefects/environmental.html,,,,
Can exposure to chemicals affect my babys DNA?,Chemical exposure,Genetic risk,EPA,https://www.epa.gov/pesticides,,,,
Is smoking a risk factor for genetic abnormalities in babies?,Smoking,Teratogenic risk,CDC,https://www.cdc.gov/tobacco/basic_information/health_effects/pregnancy/index.htm,,,,
What is the genetic basis of thalassemia?,Thalassemia,Genetic basis,CDC,https://www.cdc.gov/ncbddd/thalassemia/index.html,HBB; HBA1; HBA2,https://www.cdc.gov/ncbddd/thalassemia/index.html,,
How is sickle cell disease inherited?,Sickle cell disease,Inheritance pattern,NIH,https://www.nih.gov/,HBB,https://www.cdc.gov/ncbddd/sicklecell/index.html,,
Can hemophilia carriers be detected before pregnancy?,Hemophilia,Carrier detection,CDC,https://www.cdc.gov/ncbddd/hemophilia/index.html,F8 (Hemophilia A); F9 (Hemophilia B),https://www.cdc.gov/ncbddd/hemophilia/index.html,,
What is the role of genetic counselling in clotting disorders?,Clotting disorders,Genetic counselling,NIH,https://www.nhlbi.nih.gov/health-topics/bleeding-disorders,,,,
Are blood disorders always passed on to children?,Blood disorders,Inheritance risk,NIH,https://www.nih.gov/,,,,
Is epilepsy ever genetic?,Epilepsy,Genetic association,CDC,https://www.cdc.gov/epilepsy/index.html,,,,
How do you test for Charcot-Marie-Tooth disease?,Charcot-Marie-Tooth disease,Testing,NIH,https://rarediseases.info.nih.gov/diseases/6767/charcot-marie-tooth-disease,PMP22; MPZ (and many others),https://rarediseases.info.nih.gov/diseases/6767/charcot-marie-tooth-disease,,
Are there genetic markers for multiple sclerosis?,Multiple sclerosis,Genetic markers,NIH,https://www.nationalmssociety.org/What-is-MS,,,,
What is the inheritance of spinal muscular atrophy (SMA)?,SMA,Inheritance pattern,NIH,https://www.ninds.nih.gov/health-information/disorders/spinal-muscular-atrophy,SMN1,https://www.ninds.nih.gov/health-information/disorders/spinal-muscular-atrophy,,
Can migraines have a genetic cause?,Migraines,Genetic link,NIH,https://www.ninds.nih.gov/health-information/disorders/migraine,,,,
Is retinitis pigmentosa inherited?,Retinitis pigmentosa,Inheritance,NEI,https://www.nei.nih.gov/learn-about-eye-health/eye-conditions-and-diseases/retinitis-pigmentosa,RHO; RPGR; USH2A (many others),https://www.nei.nih.gov/learn-about-eye-health/eye-conditions-and-diseases/retinitis-pigmentosa,,
Can glaucoma be passed down through families?,Glaucoma,Inheritance,NEI,https://www.nei.nih.gov/learn-about-eye-health/eye-conditions-and-diseases/glaucoma,,,,
How is congenital cataract linked to genetics?,Congenital cataract,Genetic association,NEI,https://www.nei.nih.gov/learn-about-eye-health/eye-conditions-and-diseases/cataracts,,,,
Are there tests for inherited blindness?,Inherited blindness,Testing,NEI,https://www.nei.nih.gov/,,,,
What is the risk of my child developing colour blindness?,Colour blindness,Risk assessment,NEI,https://www.nei.nih.gov/learn-about-eye-health/eye-conditions-and-diseases/color-blindness,OPN1LW; OPN1MW,https://www.nei.nih.gov/learn-about-eye-health/eye-conditions-and-diseases/color-blindness,,
What biochemical tests confirm genetic metabolic disorders?,Genetic metabolic disorders,Testing,NIH,https://www.nih.gov/,,,,
How do biochemical markers help in diagnosis of lysosomal storage diseases?,Lysosomal storage diseases,Diagnostic markers,NIH,https://rarediseases.info.nih.gov/diseases/6073/lysosomal-storage-diseases,,,,
Can biochemical screening replace genetic testing?,Biochemical screening,Testing methods,NIH,https://www.nih.gov/,,,,
Which biochemical pathways are affected in mitochondrial diseases?,Mitochondrial diseases,Affected pathways,NIH,https://www.ninds.nih.gov/health-information/disorders/mitochondrial-diseases,,,,
Are enzyme activity tests useful in newborn screening?,Newborn screening,Testing usefulness,CDC,https://www.cdc.gov/ncbddd/newbornscreening/index.html,,,,
What is preimplantation genetic testing (PGT)?,PGT,Testing method,American Society for Reproductive Medicine,https://www.asrm.org/topics/topics-index/preimplantation-genetic-testing/,,,,
Can PGT detect chromosomal abnormalities?,Chromosomal abnormalities,Detection,NIH,https://www.nih.gov/,,,,
How does PGT help couples with recurrent miscarriages?,Recurrent miscarriages,Risk management,NIH,https://www.nih.gov/,,,,
What is the difference between PGT-A and PGT-M?,PGT types,Testing methods,NIH,https://www.nih.gov/,,,,
Is PGT recommended for all couples planning pregnancy?,PGT recommendation,Testing advice,NIH,https://www.nih.gov/,,,,
Can IVF combined with genetic testing prevent inherited disorders?,IVF,Prevention,CDC,https://www.cdc.gov/art/index.html,,,,
How are embryos screened for genetic abnormalities?,Embryo screening,Testing process,NIH,https://www.nih.gov/,,,,
Does preimplantation testing guarantee a healthy baby?,Preimplantation testing,Effectiveness,NIH,https://www.nih.gov/,,,,
What are the risks of using ART with genetic selection?,ART,Procedure risk,NIH,https://www.nih.gov/,,,,
Can donor gametes reduce genetic disease risk?,Donor gametes,Risk reduction,NIH,https://www.nih.gov/,,,,
Is hypertrophic cardiomyopathy inherited?,Hypertrophic cardiomyopathy,Inheritance,NIH,https://www.nih.gov/,MYH7; MYBPC3; TNNT2; TNNI3,https://www.nhlbi.nih.gov/health-topics/hypertrophic-cardiomyopathy,,
How is long QT syndrome passed through families?,Long QT syndrome,Inheritance,NIH,https://www.nih.gov/,KCNQ1; KCNH2; SCN5A,https://www.nhlbi.nih.gov/health-topics/long-q-t-syndrome,,
Are there genetic causes of congenital heart defects?,Heart defects,Genetic causes,CDC,https://www.cdc.gov/ncbddd/heartdefects/index.html,,,,
Can I be tested for risk of sudden cardiac death?,Sudden cardiac death,Risk testing,NIH,https://www.nhlbi.nih.gov/health-topics/sudden-cardiac-death,,,,
Does family history of heart disease always mean genetic predisposition?,Heart disease,Genetic link,NIH,https://www.nih.gov/,,,,
What is BRCA testing and who should get it?,BRCA testing,Testing advice,NIH,https://www.cancer.gov/about-cancer/causes-prevention/genetics/brca-fact-sheet,BRCA1; BRCA2,https://www.cancer.gov/about-cancer/causes-prevention/genetics/brca-fact-sheet,,
Does family history of breast cancer mean I’ll get it too?,Breast cancer,Risk assessment,NIH,https://www.nih.gov/,,,,
How does Lynch syndrome increase colon cancer risk?,Lynch syndrome,Risk increase,CDC,https://www.cdc.gov/cancer/lynch/index.htm,MLH1; MSH2; MSH6; PMS2; EPCAM,https://www.cdc.gov/cancer/lynch/index.htm,,
Are there genetic tests for childhood cancers?,Childhood cancers,Testing options,NIH,https://www.nih.gov/,,,,
Can lifestyle changes reduce inherited cancer risk?,Cancer risk,Prevention,NIH,https://www.nih.gov/,,,,
How is polycystic kidney disease inherited?,Polycystic kidney disease,Inheritance,NIH,https://www.niddk.nih.gov/health-information/kidney-disease/polycystic-kidney-disease,PKD1; PKD2,https://www.niddk.nih.gov/health-information/kidney-disease/polycystic-kidney-disease,,
Can Alport syndrome be detected genetically?,Alport syndrome,Testing,NIH,https://www.ninds.nih.gov/health-information/disorders/alport-syndrome,COL4A5; COL4A3; COL4A4,https://www.ninds.nih.gov/health-information/disorders/alport-syndrome,,
Are kidney stones linked to genetics?,Kidney stones,Genetic association,NIH,https://www.niddk.nih.gov/health-information/urologic-diseases/kidney-stones,,,,
Does family history of kidney failure mean higher risk?,Kidney failure,Risk assessment,NIH,https://www.niddk.nih.gov/health-information/kidney-disease/kidney-failure,,,,
Can genetic counselling help in kidney transplant planning?,Kidney transplant,Genetic counselling,NIH,https://www.nih.gov/,,,,
What conditions are covered in newborn screening?,Newborn screening,Covered conditions,CDC,https://www.cdc.gov/ncbddd/newbornscreening/index.html,,,,
How is newborn screening different from genetic testing?,Newborn screening,Testing comparison,CDC,https://www.cdc.gov/ncbddd/newbornscreening/index.html,,,,
Can newborn screening detect cystic fibrosis?,Cystic fibrosis,Detection,CDC,https://www.cdc.gov/cf/index.html,,,,
What happens if my baby’s screening test is positive?,Screening results,Next steps,NIH,https://www.nih.gov/,,,,
Are false positives common in newborn screening?,Newborn screening,Test accuracy,CDC,https://www.cdc.gov/ncbddd/newbornscreening/index.html,,,,
What is in-utero gene therapy?,In-utero therapy,Treatment method,NIH,https://www.nih.gov/,,,,
Can surgery correct genetic disorders before birth?,Fetal surgery,Treatment options,March of Dimes,https://www.marchofdimes.org/complications/fetal-surgery.aspx,,,,
Are there therapies for spina bifida during pregnancy?,Spina bifida,Treatment options,CDC,https://www.cdc.gov/ncbddd/spinabifida/index.html,,,,
How safe is fetal transfusion for genetic blood disorders?,Fetal transfusion,Procedure risk,March of Dimes,https://www.marchofdimes.org/,,,,
Can stem cells be used for fetal therapy?,Stem cells,Treatment research,NIH,https://stemcells.nih.gov/,,,,
What is the role of PCR in genetic testing?,PCR,Testing method,NIH,https://www.genome.gov/about-genomics/fact-sheets/PCR,,,,
How are mutations detected at the molecular level?,Mutations,Detection,NIH,https://www.genome.gov/about-genomics/fact-sheets/Mutation-Fact-Sheet,,,,
What is whole exome sequencing used for?,Exome sequencing,Testing purpose,NIH,https://www.genome.gov/about-genomics/fact-sheets/Exome-Sequencing-Fact-Sheet,,,,
Can molecular testing identify carriers in a family?,Carrier testing,Testing method,ACOG,https://www.acog.org/clinical/clinical-guidance/committee-opinion/articles/2017/03/carrier-screening-for-genetic-conditions,,,,
What is the difference between gene panel and whole genome sequencing?,Genetic testing,Method comparison,NIH,https://www.nih.gov/,,,,
What genetic disorders are most common in children?,Genetic disorders,Common conditions,CDC,https://www.cdc.gov/ncbddd/genetics/index.html,,,,
How do I know if my child’s developmental delay is genetic?,Developmental delay,Genetic cause,NIH,https://www.nih.gov/,,,,
Can short stature be related to a genetic condition?,Short stature,Genetic association,NIH,https://www.nih.gov/,,,,
Are learning disabilities always inherited?,Learning disabilities,Inheritance risk,NIH,https://www.nih.gov/,,,,
How do genetic counsellors support children with rare diseases?,Rare diseases,Counselling support,NIH,https://www.nih.gov/,,,,
What kinds of DNA tests are used for genetic counselling?,DNA tests,Testing types,NIH,https://www.nih.gov/,,,,
How reliable are at-home DNA test kits?,DNA kits,Test accuracy,NIH,https://www.nih.gov/,,,,
Can DNA testing reveal ancestry and disease risk together?,DNA testing,Testing scope,NIH,https://www.nih.gov/,,,,
Is whole genome sequencing affordable and necessary?,Genome sequencing,Testing feasibility,NIH,https://www.genome.gov/about-genomics/fact-sheets/Whole-Genome-Sequencing-Fact-Sheet,,,,
How is consent handled for genetic DNA testing?,Genetic testing,Consent process,NIH,https://www.nih.gov/,,,,
Could a BRCA2 mutation increase my risk for pancreatic cancer?,BRCA2 mutation,Cancer risk,NIH National Cancer Institute,https://www.cancer.gov/,BRCA1; BRCA2,https://www.cancer.gov/about-cancer/causes-prevention/genetics/brca-fact-sheet,,
What lifestyle changes reduce risk for familial hypercholesterolemia complications?,Familial hypercholesterolemia,Risk management,CDC,https://www.cdc.gov/genomics/disease/familial_hypercholesterolemia.htm,LDLR; PCSK9; APOB,https://www.cdc.gov/genomics/disease/familial_hypercholesterolemia.htm,,
Are there genetic tests for late-onset Tay Sachs carriers?,Tay Sachs carrier testing,Carrier testing,NIH,https://www.ninds.nih.gov/health-information/disorders/tay-sachs-disease,HEXA,https://www.ninds.nih.gov/health-information/disorders/tay-sachs-disease,,
Can hereditary hemochromatosis present differently in men and women?,Hereditary hemochromatosis,Clinical presentation,NIH,https://www.niddk.nih.gov/health-information/liver-disease/hereditary-hemochromatosis,,,,
How is Maple Syrup Urine Disease detected in adults presenting with neurological symptoms?,Maple Syrup Urine Disease,Diagnostic detection,NIH GARD,https://rarediseases.info.nih.gov/diseases/7737/maple-syrup-urine-disease,BCKDHA; BCKDHB; DBT,https://rarediseases.info.nih.gov/diseases/7737/maple-syrup-urine-disease,,
What dietary interventions help manage homocystinuria?,Homocystinuria,Treatment and management,NIH GARD,https://rarediseases.info.nih.gov/diseases/6913/homocystinuria,CBS,https://rarediseases.info.nih.gov/diseases/6913/homocystinuria,,
Can newborn screening miss mild forms of metabolic disorders?,Newborn metabolic screening,Screening sensitivity,CDC,https://www.cdc.gov/newbornscreening/,,,,
Are lipid storage disorders heritable and how are they tested?,Lipid storage disorders,Inheritance and testing,NIH,https://rarediseases.info.nih.gov/diseases/6073/lysosomal-storage-diseases,,,,
When is carrier screening recommended before or during pregnancy?,Carrier screening timing,Screening recommendation,ACOG,https://www.acog.org/clinical/clinical-guidance/committee-opinion/articles/2017/03/carrier-screening-for-genetic-conditions,,,,
Can maternal age affect the accuracy of prenatal genetic screening?,Maternal age and screening,Screening factors,ACOG,https://www.acog.org/womens-health/faqs/prenatal-genetic-testing,,,,
What conditions does diagnostic microarray detect prenatally?,Chromosomal microarray prenatal,Testing capability,ACOG,https://www.acog.org/clinical/clinical-guidance/practice-advisory/articles/2016/05/copy-number-variants,,,,
How soon after a positive screen should diagnostic testing be offered?,Follow-up after positive screen,Clinical pathway,ACOG,https://www.acog.org/clinical/clinical-guidance/,,,,
Are copy number variants (CNVs) linked to autism risk?,CNVs and autism,Genetic association,CDC,https://www.cdc.gov/ncbddd/autism/index.html,,,,
Does family history of suicide increase genetic risk for mood disorders?,Family history of suicide,Risk assessment,NIMH,https://www.nimh.nih.gov/,,,,
Can pharmacogenomic testing guide antidepressant choice?,Pharmacogenomics in psychiatry,Treatment personalization,NIH,https://www.nimh.nih.gov/,,,,
Are there genetic tests that predict response to antipsychotics?,Genetic predictors of drug response,Therapeutic guidance,FDA,https://www.fda.gov/drugs,,,,
What genetic tests confirm Fabry disease and who should be screened?,Fabry disease testing,Testing indication,NIH GARD,https://rarediseases.info.nih.gov/diseases/7830/fabry-disease,GLA,https://rarediseases.info.nih.gov/diseases/7830/fabry-disease,,
How do genotype and phenotype correlate in Becker muscular dystrophy?,Becker muscular dystrophy,Genotype-phenotype correlation,NIH,https://www.ninds.nih.gov/health-information/disorders/duchenne-and-becker-muscular-dystrophy,DMD,https://www.ninds.nih.gov/health-information/disorders/duchenne-and-becker-muscular-dystrophy,,
Are there newborn interventions for Krabbe disease detected early?,Krabbe disease newborn intervention,Early intervention,NIH GARD,https://rarediseases.info.nih.gov/diseases/7343/krabbe-disease,GALC,https://rarediseases.info.nih.gov/diseases/7343/krabbe-disease,,
What is the recurrence risk for parents after a child with an autosomal recessive metabolic disorder?,Recurrence risk autosomal recessive,Family planning,CDC,https://www.cdc.gov/genomics/disease/,,,,
Does maternal diabetes act as a teratogen and what defects are associated?,Maternal diabetes,Teratogenic risk,CDC,https://www.cdc.gov/pregnancy/diabetes.html,,,,
Can high doses of vitamin A in pregnancy cause malformations?,Vitamin A excess,Teratogenicity,FDA,https://www.fda.gov/consumers/consumer-updates/too-much-vitamin-can-be-deadly,,,,
Are industrial chemical spills a teratogenic concern for pregnant residents?,Chemical spills exposure,Environmental teratogen,EPA,https://www.epa.gov/chemical-emergencies,,,,
How does maternal Zika infection affect fetal development?,Zika virus in pregnancy,Teratogenic infection,CDC,https://www.cdc.gov/zika/,,,,
Can carriers of alpha thalassemia have mild anemia and how is it detected?,Alpha thalassemia carrier,Phenotype and detection,CDC,https://www.cdc.gov/ncbddd/thalassemia/index.html,HBB; HBA1; HBA2,https://www.cdc.gov/ncbddd/thalassemia/index.html,,
What prenatal tests identify fetal blood disorders like alpha thalassemia major?,Prenatal detection thalassemia major,Prenatal testing,WHO,https://www.who.int/,HBB; HBA1; HBA2,https://www.cdc.gov/ncbddd/thalassemia/index.html,,
Are there gene therapies available for hemoglobinopathies currently in trials?,Gene therapy hemoglobinopathies,Therapeutic research,NIH,https://www.nih.gov/,,,,
How do splenectomy decisions change for hereditary spherocytosis patients?,Hereditary spherocytosis management,Treatment decision,NIH,https://www.nhlbi.nih.gov/health-topics/hereditary-spherocytosis,,,,
What genetic panels are used for adult-onset ataxia evaluation?,Adult-onset ataxia panels,Diagnostic testing,NIH,https://www.ninds.nih.gov/,,,,
Is there genetic testing for familial migraine syndromes?,Familial migraine testing,Genetic testing,NIH,https://www.ninds.nih.gov/,,,,
How is genetic counseling provided for progressive supranuclear palsy families?,Progressive supranuclear palsy,Counseling,NIH,https://www.ninds.nih.gov/,,,,
Can peripheral neuropathies be due to mitochondrial DNA mutations?,Mitochondrial mutations neuropathy,Etiology,NIH,https://www.ninds.nih.gov/,,,,
Should families with aniridia have PAX6 genetic testing?,Aniridia PAX6 testing,Testing indication,NEI,https://www.nei.nih.gov/,PAX6,https://www.nei.nih.gov/,,
What genetic causes underlie Leber hereditary optic neuropathy?,Leber hereditary optic neuropathy,Genetic cause,NEI,https://www.nei.nih.gov/,MT-ND1; MT-ND4; MT-ND6 (mitochondrial genes),https://www.nei.nih.gov/learn-about-eye-health/eye-conditions-and-diseases/leber-hereditary-optic-neuropathy,,
How is congenital stationary night blindness diagnosed genetically?,Congenital stationary night blindness,Genetic diagnosis,NEI,https://www.nei.nih.gov/,,,,
Are retinopathy of prematurity risks linked to genetic susceptibility?,ROP and genetics,Genetic susceptibility,NEI,https://www.nei.nih.gov/,,,,
What biochemical markers indicate mitochondrial respiratory chain defects?,Mitochondrial respiratory chain defects,Biochemical markers,NIH,https://www.ninds.nih.gov/,,,,
How are bile acid synthesis disorders screened biochemically?,Bile acid synthesis disorders,Screening tests,NIH GARD,https://rarediseases.info.nih.gov/,,,,
Can tandem mass spectrometry identify multiple inborn errors simultaneously?,Tandem MS in IEMs,Screening capability,CDC,https://www.cdc.gov/newbornscreening/,,,,
What biochemical tests monitor treatment response in lysosomal storage disorders?,Monitoring biochemical markers,Treatment monitoring,NIH,https://www.ninds.nih.gov/,,,,
Can couples screen for fragile X premutation status before conception?,Fragile X premutation screening,Carrier screening,NIH,https://www.nimh.nih.gov/health/topics/fragile-x-syndrome,FMR1,https://www.nimh.nih.gov/health/topics/fragile-x-syndrome,,
How accurate is PGT-M for single-gene disorders like cystic fibrosis?,PGT-M accuracy for single-gene,Test performance,ASRM,https://www.asrm.org/,,,,
What ethical considerations should be discussed before pursuing PGT?,PGT ethical considerations,Counseling topics,ASRM,https://www.asrm.org/,,,,
Does consanguinity change recommendations for preconception carrier screening?,Consanguinity and screening,Risk assessment,WHO,https://www.who.int/,,,,
How many cells are typically biopsied for embryo PGT and does it affect embryo viability?,Embryo biopsy cell number,Procedure details,ASRM,https://www.asrm.org/,,,,
What is the turnaround time for embryo genetic testing results in ART clinics?,PGT result turnaround time,Operational detail,CDC,https://www.cdc.gov/art/index.html,,,,
Can mosaic embryos result in healthy pregnancies and how are they reported?,Mosaic embryos outcome,Clinical reporting,NIH,https://www.nih.gov/,,,,
Are there regulations governing embryo storage and PGT in my country?,Embryo storage regulations,Regulatory guidance,WHO,https://www.who.int/,,,,
Do family members of a person with dilated cardiomyopathy need genetic testing?,Dilated cardiomyopathy family testing,Screening recommendation,NIH,https://www.nhlbi.nih.gov/health-topics/dilated-cardiomyopathy,TTN; LMNA; MYH7 (varies),https://www.nhlbi.nih.gov/health-topics/dilated-cardiomyopathy,,
What is the role of genetic testing in unexplained syncope with ECG changes?,Syncope with ECG genetic testing,Diagnostic aid,NIH,https://www.nhlbi.nih.gov/,,,,
Are arrhythmogenic right ventricular cardiomyopathy genes screened in athletes?,ARVC screening athletes,Screening context,NIH,https://www.nhlbi.nih.gov/,,,,
Can congenital heart disease be part of multisystem genetic syndromes?,CHD in genetic syndromes,Syndromic association,CDC,https://www.cdc.gov/ncbddd/heartdefects/index.html,,,,
What surveillance is recommended for individuals with BRCA1 pathogenic variants beyond breast screening?,BRCA1 surveillance,Risk management,NIH NCI,https://www.cancer.gov/,BRCA1; BRCA2,https://www.cancer.gov/about-cancer/causes-prevention/genetics/brca-fact-sheet,,
Is multi-gene panel testing preferred over single gene testing for hereditary colorectal cancer?,Panel vs single gene CRC testing,Testing strategy,CDC,https://www.cdc.gov/cancer/,,,,
How are pediatric cancer predisposition syndromes identified genetically?,Pediatric cancer predisposition,Identification,NIH,https://www.cancer.gov/,,,,
Can somatic tumor testing inform germline testing needs?,Somatic tumor testing informing germline,Testing interpretation,NIH,https://www.cancer.gov/,,,,
Are some forms of nephrotic syndrome due to single gene mutations?,Monogenic nephrotic syndrome,Etiology,NIH,https://www.niddk.nih.gov/,,,,
What genetic tests help with atypical hemolytic uremic syndrome diagnosis?,aHUS genetic testing,Diagnostic testing,NIH,https://www.niddk.nih.gov/,,,,
Does genetic testing guide treatment choices in Alport syndrome?,Alport testing guiding treatment,Clinical utility,NIH,https://www.ninds.nih.gov/health-information/disorders/alport-syndrome,COL4A5; COL4A3; COL4A4,https://www.ninds.nih.gov/health-information/disorders/alport-syndrome,,
Can pharmacogenomics affect dosing of immunosuppressants post-transplant?,Pharmacogenomics transplant drugs,Therapeutic implications,FDA,https://www.fda.gov/,,,,
How do states decide which conditions to include in newborn screening panels?,State newborn screening panels,Policy decision,CDC,https://www.cdc.gov/newbornscreening/,,,,
What follow-up diagnostic tests confirm positive metabolic newborn screens?,Confirmatory testing metabolic screens,Diagnostic pathway,CDC,https://www.cdc.gov/newbornscreening/,,,,
Can carrier status be inadvertently revealed by newborn screening results?,Carrier status from newborn screening,Ethical/privacy,CDC,https://www.cdc.gov/,,,,
How quickly should treatment start after a positive newborn screen for PKU?,PKU treatment timing,Clinical urgency,NIH,https://www.nichd.nih.gov/,PAH,https://www.nichd.nih.gov/health/topics/phenylketonuria,,
Are there fetal gene therapy trials for spinal muscular atrophy?,Fetal gene therapy SMA trials,Clinical trials,NIH,https://www.nih.gov/,SMN1,https://www.ninds.nih.gov/health-information/disorders/spinal-muscular-atrophy,,
How is twin-to-twin transfusion syndrome managed prenatally?,TTTS management,Therapeutic options,March of Dimes,https://www.marchofdimes.org/,,,,
Can prenatal stem cell transplantation treat immune deficiencies in utero?,Prenatal stem cell transplant,Experimental therapy,NIH,https://www.nih.gov/,,,,
What are outcomes after fetal endoscopic tracheal occlusion for congenital diaphragmatic hernia?,FETO outcomes for CDH,Surgical therapy outcomes,NIH NICHD,https://www.nichd.nih.gov/,,,,
What quality control measures ensure accuracy in next-generation sequencing labs?,NGS quality control,Laboratory standards,CDC,https://www.cdc.gov/genomics/,,,,
How are variants of uncertain significance (VUS) classified and reclassified?,VUS classification,Variant interpretation,ACMG,https://www.acmg.net/,,,,
What is the analytic sensitivity of targeted gene panels versus whole exome sequencing?,Analytic sensitivity panels vs WES,Technical comparison,NHGRI,https://www.genome.gov/,,,,
How does RNA sequencing complement DNA testing in genetic diagnosis?,RNA sequencing in genetics,Testing complementarity,NHGRI,https://www.genome.gov/,,,,
When should a pediatrician refer a child for genetic evaluation for developmental delay?,Referral for developmental delay,Referral criteria,AAP,https://www.aap.org/,,,,
Can growth hormone deficiency be due to genetic mutations and how is it tested?,Genetic causes growth hormone deficiency,Diagnostic testing,NIH,https://www.nichd.nih.gov/,,,,
How is inherited metabolic disease managed in a toddler with feeding difficulties?,Management inherited metabolic disease toddler,Clinical management,NIH,https://www.ninds.nih.gov/,,,,
